Game,Team,,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Attendance
"2020-08-03 - Jets 3, Flames 2",Winnipeg Jets,Limited ReportFull ReportSeries Report,60,49,51,49,37,39,48.68,26,30,46.43,3,2,60,2.58,1.99,56.41,23,27,46,9,4,69.23,6,1,85.71,3,0,100,50,100,14,23,37.84,7,17,29.17,0,2,0,0,88.24,24,20,54.55,12,12,50,0,0,-,0,100,11.54,93.33,1.049,0
"2020-08-03 - Rangers 1, Hurricanes 4",Carolina Hurricanes,Limited ReportFull ReportSeries Report,60,55,52,51.4,44,39,53.01,34,24,58.62,4,1,80,2.21,1.76,55.62,25,24,51.02,10,5,66.67,7,3,70,2,1,66.67,28.57,66.67,15,19,44.12,6,9,40,0,0,-,0,100,27,25,51.92,20,10,66.67,2,0,100,10,100,11.76,95.83,1.076,0
"2020-08-03 - Rangers 1, Hurricanes 4",New York Rangers,Limited ReportFull ReportSeries Report,60,52,55,48.6,39,44,46.99,24,34,41.38,1,4,20,1.76,2.21,44.38,24,25,48.98,5,10,33.33,3,7,30,1,2,33.33,33.33,71.43,19,15,55.88,9,6,60,0,0,-,0,100,25,27,48.08,10,20,33.33,0,2,0,0,90,4.17,88.24,0.924,0
"2020-08-03 - Stars 3, Golden Knights 5",Dallas Stars,Limited ReportFull Report,60,47,63,42.73,36,47,43.37,27,33,45,3,5,37.5,2.3,2.99,43.48,27,28,49.09,15,10,60,11,7,61.11,2,1,66.67,18.18,85.71,12,18,40,6,12,33.33,1,2,33.33,16.67,83.33,15,30,33.33,8,12,40,0,1,0,0,91.67,11.11,84.85,0.96,0
"2020-08-03 - Stars 3, Golden Knights 5",Vegas Golden Knights,Limited ReportFull Report,60,63,47,57.27,47,36,56.63,33,27,55,5,3,62.5,2.99,2.3,56.52,28,27,50.91,10,15,40,7,11,38.89,1,2,33.33,14.29,81.82,18,12,60,12,6,66.67,2,1,66.67,16.67,83.33,30,15,66.67,12,8,60,1,0,100,8.33,100,15.15,88.89,1.04,0
"2020-08-04 - Blue Jackets 0, Maple Leafs 3",Columbus Blue Jackets,Limited ReportFull ReportSeries Report,60,48,71,40.34,32,53,37.65,20,39,33.9,0,3,0,1.87,4.62,28.87,25,42,37.31,8,17,32,4,14,22.22,0,2,0,0,85.71,17,25,40.48,10,10,50,0,0,-,0,100,21,25,45.65,6,13,31.58,0,0,-,0,100,0,92.31,0.923,0
"2020-08-04 - Blue Jackets 0, Maple Leafs 3",Toronto Maple Leafs,Limited ReportFull ReportSeries Report,60,71,48,59.66,53,32,62.35,39,20,66.1,3,0,100,4.62,1.87,71.13,42,25,62.69,17,8,68,14,4,77.78,2,0,100,14.29,100,25,17,59.52,10,10,50,0,0,-,0,100,25,21,54.35,13,6,68.42,0,0,-,0,100,7.69,100,1.077,0
"2020-08-04 - Coyotes 2, Predators 4",Arizona Coyotes,Limited ReportFull ReportSeries Report,60,56,51,52.34,35,41,46.05,26,28,48.15,2,4,33.33,2.15,2.18,49.63,25,22,53.19,13,8,61.9,9,5,64.29,2,1,66.67,22.22,80,12,14,46.15,3,9,25,0,2,0,0,77.78,25,24,51.02,10,13,43.48,0,1,0,0,92.31,7.69,85.71,0.934,0
"2020-08-04 - Coyotes 2, Predators 4",Nashville Predators,Limited ReportFull ReportSeries Report,60,51,56,47.66,41,35,53.95,28,26,51.85,4,2,66.67,2.18,2.15,50.37,22,25,46.81,8,13,38.1,5,9,35.71,1,2,33.33,20,77.78,14,12,53.85,9,3,75,2,0,100,22.22,100,24,25,48.98,13,10,56.52,1,0,100,7.69,100,14.29,92.31,1.066,0
"2020-08-04 - Flames 6, Jets 2",Calgary Flames,Limited ReportFull ReportSeries Report,60,51,58,46.79,38,40,48.72,32,35,47.76,6,2,75,3.07,1.56,66.35,24,23,51.06,9,7,56.25,7,6,53.85,4,1,80,57.14,83.33,15,16,48.39,8,7,53.33,2,1,66.67,25,85.71,22,31,41.51,15,21,41.67,0,0,-,0,100,18.75,94.29,1.13,0
