Team,CF,CA,CF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF%,HDSF%,HDGF%,HDSH%,HDSV%,SH%,SV%,PDO
Calgary Flames,61,64,48.8,34,31,52.31,4,0,100.0,4.27,2.12,66.77,28,28,50.0,65.0,69.23,100,11.11,100,11.76,100.0,1.1179999999999999
Winnipeg Jets,64,61,51.2,31,34,47.69,0,4,0.0,2.12,4.27,33.23,28,28,50.0,35.0,30.77,0,0,88.89,0.0,88.24,0.882
St Louis Blues,28,71,28.28,17,38,30.91,4,6,40.0,1.34,3.93,25.38,14,30,31.82,33.33,31.25,50,60,72.73,23.53,84.21,1.077
Vegas Golden Knights,71,28,71.72,38,17,69.09,6,4,60.0,3.93,1.34,74.62,30,14,68.18,66.67,68.75,50,27.27,40,15.79,76.47,0.9229999999999999
Columbus Blue Jackets,82,78,51.25,43,36,54.43,4,3,57.14,2.45,2.96,45.32,39,43,47.56,45.16,43.48,50,10,92.31,9.3,91.67,1.01
Toronto Maple Leafs,78,82,48.75,36,43,45.57,3,4,42.86,2.96,2.45,54.68,43,39,52.44,54.84,56.52,50,7.69,90,8.33,90.7,0.99
Minnesota Wild,49,62,44.14,29,31,48.33,4,5,44.44,2.63,2.63,49.98,19,21,47.5,40.91,41.18,50,28.57,80,13.79,83.87,0.977
Vancouver Canucks,62,49,55.86,31,29,51.67,5,4,55.56,2.63,2.63,50.02,21,19,52.5,59.09,58.82,50,20,71.43,16.13,86.21,1.023
Florida Panthers,70,60,53.85,25,38,39.68,1,5,16.67,2.56,4.19,37.96,41,30,57.75,51.85,43.75,0,0,77.78,4.0,86.84,0.9079999999999999
New York Islanders,60,70,46.15,38,25,60.32,5,1,83.33,4.19,2.56,62.04,30,41,42.25,48.15,56.25,100,22.22,100,13.16,96.0,1.092
Columbus Blue Jackets,74,83,47.13,39,53,42.39,3,4,42.86,4.06,2.96,57.77,33,38,46.48,38.46,38.46,50,20,87.5,7.69,92.45,1.001
Toronto Maple Leafs,83,74,52.87,53,39,57.61,4,3,57.14,2.96,4.06,42.23,38,33,53.52,61.54,61.54,50,12.5,80,7.55,92.31,0.9990000000000001
Chicago Blackhawks,47,73,39.17,29,45,39.19,3,2,60.0,2.36,4.49,34.42,25,45,35.71,36.11,37.93,66.67,18.18,94.44,10.34,95.56,1.0590000000000002
Edmonton Oilers,73,47,60.83,45,29,60.81,2,3,40.0,4.49,2.36,65.58,45,25,64.29,63.89,62.07,33.33,5.56,81.82,4.44,89.66,0.941
Montreal Canadiens,55,47,53.92,22,22,50.0,2,0,100.0,2.29,1.31,63.69,16,13,55.17,70.0,50.0,100,33.33,100,9.09,100.0,1.091
Pittsburgh Penguins,47,55,46.08,22,22,50.0,0,2,0.0,1.31,2.29,36.31,13,16,44.83,30.0,50.0,0,0,66.67,0.0,90.91,0.909
Arizona Coyotes,66,87,43.14,34,52,39.53,4,3,57.14,2.02,3.11,39.36,32,31,50.79,40.74,38.89,33.33,14.29,81.82,11.76,94.23,1.06
Nashville Predators,87,66,56.86,52,34,60.47,3,4,42.86,3.11,2.02,60.64,31,32,49.21,59.26,61.11,66.67,18.18,85.71,5.77,88.24,0.94
Philadelphia Flyers,47,62,43.12,30,24,55.56,4,1,80.0,3.3,2.07,61.49,21,27,43.75,73.33,75.0,75,33.33,66.67,13.33,95.83,1.092
Tampa Bay Lightning,62,47,56.88,24,30,44.44,1,4,20.0,2.07,3.3,38.51,27,21,56.25,26.67,25.0,25,33.33,66.67,4.17,86.67,0.9079999999999999
Colorado Avalanche,65,49,57.02,35,26,57.38,3,4,42.86,3.68,2.04,64.33,36,23,61.02,57.69,63.64,50,21.43,62.5,8.57,84.62,0.932
Vegas Golden Knights,49,65,42.98,26,35,42.62,4,3,57.14,2.04,3.68,35.67,23,36,38.98,42.31,36.36,50,37.5,78.57,15.38,91.43,1.068
Columbus Blue Jackets,45,57,44.12,22,33,40.0,3,0,100.0,2.43,1.88,56.45,24,26,48.0,50.0,60.0,100,16.67,100,13.64,100.0,1.136
Toronto Maple Leafs,57,45,55.88,33,22,60.0,0,3,0.0,1.88,2.43,43.55,26,24,52.0,50.0,40.0,0,0,83.33,0.0,86.36,0.8640000000000001
Boston Bruins,68,51,57.14,31,25,55.36,1,2,33.33,2.56,2.19,53.88,36,25,59.02,73.68,73.33,50,9.09,75,3.23,92.0,0.9520000000000001
Washington Capitals,51,68,42.86,25,31,44.64,2,1,66.67,2.19,2.56,46.12,25,36,40.98,26.32,26.67,50,25,90.91,8.0,96.77,1.048
